Battery,Battery_rating,Brand,Camera_rating,DisplayResolution,DisplaySize,Display_rating,OS,Performance_rating,Primary_Camera,Processor,ProductBig_img0,ProductBig_img1,ProductBig_img2,ProductBig_img3,ProductBig_img4,ProductBig_img5,ProductBig_img6,Product_img,Product_name,Product_price,Product_rating,Ram,Secondary_Camera,TotalRatingReview,Value_for_Money_rating,aboutphone,disc1,disc2,disc3,disc4,disc5,disc6,disc7,link,review_1,review_2,review_3,review_4,review_5
1750,,Asus,,,11.43,,,,8MP,,,,,,,,,,"Asus Zenfone 4 (Red, 8GB)","7,499",3.9,1GB,,,,,1GB RAM | 8GB ROM | Expandable Upto 64GB,11.43 cm (4.5 inch) FWVGA Display,8MP Rear Camera | 0.3MP Front Camera,1750 mAh Lithium Battery,Intel Atom Z2520 Processor with Intel Hyper Threading Technology Processor,,,https://www.flipkart.com/asus-zenfone-4-red-8-gb/p/itmeuyd8dqe79wcm?pid=MOBDXZ9W2TG79YJR&lid=LSTMOBDXZ9W2TG79YJR1BFEVG&marketplace=FLIPKART&srno=b_6_125&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=15dedcb6-f122-4431-a0eb-774d4d88a28f.MOBDXZ9W2TG79YJR.SEARCH&ssid=tb23zm2rg00000001603774756095,,,,,
2100,,Asus,,,11.43,,,,5MP,,,,,,,,,,"Asus Zenfone C (Black, 8GB)","6,299",3.7,1GB,,,,,1GB RAM | 8GB ROM | Expandable Upto 64GB,11.43 cm (4.5 inch) FWVGA Display,5MP Rear Camera | 0.3MP Front Camera,2100 mAh Battery,Intel Atom Z2520 Processor,,,https://www.flipkart.com/asus-zenfone-c-black-8-gb/p/itme5d99ysssvgcx?pid=MOBE4B74SREEWXPH&lid=LSTMOBE4B74SREEWXPHFYTPKB&marketplace=FLIPKART&srno=b_8_174&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=bccb4103-acb9-4f72-806a-0eeb43a95e7e.MOBE4B74SREEWXPH.SEARCH&ssid=u0tw1u0dts0000001603774756076,,,,,
3000,,Asus,,,13.97,,,,13MP,,,,,,,,,,"Asus Zenfone 2 ZE551ML (Black, 64GB)","22,999",3.9,4GB,,,,,4GB RAM | 64GB ROM | Expandable Upto 64GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery,Intel Atom Z3580 Processor,,,https://www.flipkart.com/asus-zenfone-2-ze551ml-black-64-gb/p/itmeabzfym5sadnv?pid=MOBEABZFURV93EEF&lid=LSTMOBEABZFURV93EEFTNLPOX&marketplace=FLIPKART&srno=b_7_148&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=2804d13b-09de-4df0-85d6-ee05b30f3033.MOBEABZFURV93EEF.SEARCH&ssid=gnip9xddts0000001603774756130,,,,,
3000,,Asus,,,15.24,,,,13MP,,,,,,,,,,"Asus Zenfone 2 Laser ZE601KL (Gold, 32GB)","17,999",4.1,3GB,,,,,3GB RAM | 32GB ROM | Expandable Upto 128GB,15.24 cm (6 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery,Qualcomm Snapdragon 616 Octa Core 1.7GHz Processor,,,https://www.flipkart.com/asus-zenfone-2-laser-ze601kl-gold-32-gb/p/itmedhzft6ugw7j7?pid=MOBEDHZFY9NGFH8W&lid=LSTMOBEDHZFY9NGFH8W8FG9EZ&marketplace=FLIPKART&srno=b_7_149&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=2804d13b-09de-4df0-85d6-ee05b30f3033.MOBEDHZFY9NGFH8W.SEARCH&ssid=gnip9xddts0000001603774756130,,,,,
5000,,Asus,,,16.23,,,,48MP + 13MP,,,,,,,,,,"Asus 6Z (Matte Black, 256GB)","34,999",4.3,8GB,,,,,8GB RAM | 256GB ROM | Expandable Upto 2 TB,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP | 48MP + 13MP Dual Front Camera,5000 mAh Battery,Qualcomm SD 855 Processor,,,https://www.flipkart.com/asus-6z-matte-black-256-gb/p/itmfg5hgxt7xny5h?pid=MOBFG5HFF4GKYGJA&lid=LSTMOBFG5HFF4GKYGJARTY8AM&marketplace=FLIPKART&srno=b_4_80&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=47c4232b-df27-42a4-9e48-dbf54e5b2016.MOBFG5HFF4GKYGJA.SEARCH&ssid=t48d0oqzcg0000001603774755956,,,,,
3000,,Asus,,,13.97,,,,13MP,,,,,,,,,,"Asus Zenfone Selfie (Pink, 16GB)","13,999",4,3GB,,,,,3GB RAM | 16GB ROM | Expandable Upto 128GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 13MP Front Camera,3000 mAh Polymer Battery,Qualcomm Snapdragon 615 MSM8939 Processor,,,https://www.flipkart.com/asus-zenfone-selfie-pink-16-gb/p/itmepjtdkqexeegt?pid=MOBEPJTDPA7NV84M&lid=LSTMOBEPJTDPA7NV84MHIJSUY&marketplace=FLIPKART&srno=b_5_102&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=f633216d-c0df-4b4e-82ff-46b11d625286.MOBEPJTDPA7NV84M.SEARCH&ssid=lqfkiczglc0000001603774756002,,,,,
3010,,Asus,,,13.97,,,,8MP,,,,,,,,,,"Asus Zenfone Go (Silver Blue, 32GB)","7,300",3.8,2GB,,,,,2GB RAM | 32GB ROM,13.97 cm (5.5 inch) Display,8MP Rear Camera,3010 mAh Battery,One Year Company Warranty,,,https://www.flipkart.com/asus-zenfone-go-silver-blue-32-gb/p/itmezzk9wqhfqrhh?pid=MOBF2SGGBSZXJUQF&lid=LSTMOBF2SGGBSZXJUQF0LY4TU&marketplace=FLIPKART&srno=b_9_198&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=ae2266a7-b778-4c44-a897-10a0178a696b.MOBF2SGGBSZXJUQF.SEARCH&ssid=yhohwp7c5s0000001603774756090,,,,,
2070,,Asus,,,12.7,,,,13MP,,,,,,,,,,"Asus Zenfone 2 Laser ZE500KL (Black, 16GB)","6,990",4.1,2GB,,,,,2GB RAM | 16GB ROM | Expandable Upto 128GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2070 mAh Li-Polymer Battery,Qualcomm Snapdragon 410 MSM8916 Processor,,,https://www.flipkart.com/asus-zenfone-2-laser-ze500kl-black-16-gb/p/itme9j58rmfu8hje?pid=MOBE9J58KGKA8JHX&lid=LSTMOBE9J58KGKA8JHXOL5ZMK&marketplace=FLIPKART&srno=b_3_54&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=ccb32f23-89f5-4072-8d6d-6c6041413840.MOBE9J58KGKA8JHX.SEARCH&ssid=a5unx83jr40000001603774756010,,,,,
1600,,Asus,,,11.43,,,,5MP,,,,,,,,,,"Asus Zenfone Go 4.5 (Black, 8GB)","5,299",3.9,1GB,,,,,1GB RAM | 8GB ROM | Expandable Upto 64GB,11.43 cm (4.5 inch) FWVGA Display,5MP Rear Camera | 0.3MP Front Camera,1600 mAh Lithium Battery,MediaTek MT6580M Processor,,,https://www.flipkart.com/asus-zenfone-go-4-5-black-8-gb/p/itmedhzfzuh2gbxh?pid=MOBEDHZFQFYPGYXZ&lid=LSTMOBEDHZFQFYPGYXZBATO7V&marketplace=FLIPKART&srno=b_6_126&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=15dedcb6-f122-4431-a0eb-774d4d88a28f.MOBEDHZFQFYPGYXZ.SEARCH&ssid=tb23zm2rg00000001603774756095,,,,,
4100,,Asus,,,13.97,,,,16MP,,,,,,,,,,Asus Zenfone 3 Max,"18,999",3.9,3GB,,,,,3GB RAM | 32GB ROM | Expandable Upto 128GB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,4100 mAh Polymer Battery,Qualcomm Snapdragon 430 Octa Core 1.4 GHz Processor,,,https://www.flipkart.com/asus-zenfone-3-max/p/itmep8cznhb4kcbf?pid=MOBEP8CZGCSGME2T&lid=LSTMOBEP8CZGCSGME2T7R9SQT&marketplace=FLIPKART&srno=b_6_127&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=15dedcb6-f122-4431-a0eb-774d4d88a28f.MOBEP8CZGCSGME2T.SEARCH&ssid=tb23zm2rg00000001603774756095,,,,,
